TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR
DP02,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",0,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,,,,
DP02,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",0.5,,,,,
DP02,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",0.8,HOUSEHOLDS BY TYPE,,,,
DP02,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",1,Total households,"319,565","+/-3,541","319,565",(X)
DP02,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",2,Married-couple household,"77,478","+/-4,026",24.2,+/-1.2
DP02,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",3,With children of the householder under 18 years,"29,726","+/-2,849",9.3,+/-0.9
DP02,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",4,Cohabiting couple household,"24,923","+/-2,653",7.8,+/-0.8
DP02,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",5,With children of the householder under 18 years,"2,207",+/-864,0.7,+/-0.3
DP02,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",6,"Male householder, no spouse/partner present","83,924","+/-3,486",26.3,+/-1.0
DP02,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",7,With children of the householder under 18 years,"1,862",+/-853,0.6,+/-0.3
DP02,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",8,Householder living alone,"68,685","+/-3,494",21.5,+/-1.1
DP02,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",9,65 years and over,"13,671","+/-1,629",4.3,+/-0.5
DP02,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",10,"Female householder, no spouse/partner present","133,240","+/-4,391",41.7,+/-1.3
DP02,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",11,With children of the householder under 18 years,"17,407","+/-2,196",5.4,+/-0.7
DP02,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",12,Householder living alone,"85,455","+/-4,213",26.7,+/-1.3
DP02,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",13,65 years and over,"23,678","+/-1,785",7.4,+/-0.5
DP02,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",13.3,,,,,
DP02,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",14,Households with one or more people under 18 years,"60,217","+/-4,109",18.8,+/-1.3
DP02,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",15,Households with one or more people 65 years and over,"72,580","+/-1,785",22.7,+/-0.5
DP02,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",15.3,,,,,
DP02,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",16,Average household size,1.98,+/-0.02,(X),(X)
DP02,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",17,Average family size,3.03,+/-0.08,(X),(X)
DP02,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",17.3,,,,,
DP02,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",17.5,RELATIONSHIP,,,,
DP02,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",18,Population in households,"633,047",*****,"633,047",(X)
DP02,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",19,Householder,"319,565","+/-3,541",50.5,+/-0.6
