TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",0,SELECTED ECONOMIC CHARACTERISTICS,,,,
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",0.5,,,,,
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",0.8,EMPLOYMENT STATUS,,,,
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",1,Population 16 years and over,"553,437","+/-1,145","553,437",(X)
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",2,In labor force,"391,439","+/-5,236",70.7,+/-1.0
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",3,Civilian labor force,"387,147","+/-5,027",70.0,+/-0.9
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",4,Employed,"355,398","+/-5,992",64.2,+/-1.1
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",5,Unemployed,"31,749","+/-4,133",5.7,+/-0.7
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",6,Armed Forces,"4,292",+/-979,0.8,+/-0.2
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",7,Not in labor force,"161,998","+/-5,375",29.3,+/-1.0
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",7.3,,,,,
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",8,Civilian labor force,"387,147","+/-5,027","387,147",(X)
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",9,Unemployment Rate,(X),(X),8.2,+/-1.1
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",9.3,,,,,
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",10,Females 16 years and over,"293,698",+/-845,"293,698",(X)
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",11,In labor force,"200,256","+/-3,751",68.2,+/-1.3
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",12,Civilian labor force,"199,794","+/-3,769",68.0,+/-1.3
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",13,Employed,"184,459","+/-4,118",62.8,+/-1.5
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",13.3,,,,,
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",14,Own children of the householder under 6 years,"45,818","+/-2,331","45,818",(X)
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",15,All parents in family in labor force,"35,721","+/-2,957",78.0,+/-5.0
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",15.3,,,,,
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",16,Own children of the householder 6 to 17 years,"70,330","+/-2,377","70,330",(X)
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",17,All parents in family in labor force,"51,785","+/-3,911",73.6,+/-4.5
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",17.3,,,,,
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",17.5,COMMUTING TO WORK,,,,
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",18,Workers 16 years and over,"354,033","+/-5,813","354,033",(X)
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",19,"Car, truck, or van -- drove alone","90,684","+/-5,211",25.6,+/-1.4
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",20,"Car, truck, or van -- carpooled","10,792","+/-2,084",3.0,+/-0.6
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",21,Public transportation (excluding taxicab),"41,133","+/-3,979",11.6,+/-1.1
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",22,Walked,"23,861","+/-2,665",6.7,+/-0.7
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",23,Other means,"16,592","+/-2,478",4.7,+/-0.7
DP03,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",24,Worked from home,"170,971","+/-6,761",48.3,+/-1.7
