TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",0,SELECTED ECONOMIC CHARACTERISTICS,,,,
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",0.5,,,,,
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",0.8,EMPLOYMENT STATUS,,,,
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",1,Population 16 years and over,"2,794,959","+/-2,852","2,794,959",(X)
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",2,In labor force,"1,252,484","+/-15,116",44.8,+/-0.6
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",3,Civilian labor force,"1,248,968","+/-15,432",44.7,+/-0.6
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",4,Employed,"1,085,614","+/-16,223",38.8,+/-0.6
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",5,Unemployed,"163,354","+/-9,354",5.8,+/-0.3
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",6,Armed Forces,"3,516","+/-1,447",0.1,+/-0.1
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",7,Not in labor force,"1,542,475","+/-15,849",55.2,+/-0.6
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",7.3,,,,,
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",8,Civilian labor force,"1,248,968","+/-15,432","1,248,968",(X)
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",9,Unemployment Rate,(X),(X),13.1,+/-0.7
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",9.3,,,,,
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",10,Females 16 years and over,"1,486,350","+/-2,733","1,486,350",(X)
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",11,In labor force,"604,675","+/-10,147",40.7,+/-0.7
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",12,Civilian labor force,"604,226","+/-10,103",40.7,+/-0.7
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",13,Employed,"527,885","+/-10,172",35.5,+/-0.7
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",13.3,,,,,
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",14,Own children of the householder under 6 years,"130,043","+/-3,777","130,043",(X)
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",15,All parents in family in labor force,"86,499","+/-4,151",66.5,+/-2.6
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",15.3,,,,,
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",16,Own children of the householder 6 to 17 years,"391,287","+/-5,240","391,287",(X)
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",17,All parents in family in labor force,"269,184","+/-7,838",68.8,+/-1.8
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",17.3,,,,,
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",17.5,COMMUTING TO WORK,,,,
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",18,Workers 16 years and over,"1,055,607","+/-15,745","1,055,607",(X)
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",19,"Car, truck, or van -- drove alone","862,533","+/-17,544",81.7,+/-0.9
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",20,"Car, truck, or van -- carpooled","66,006","+/-6,844",6.3,+/-0.7
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",21,Public transportation (excluding taxicab),"7,914","+/-1,656",0.7,+/-0.2
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",22,Walked,"26,107","+/-2,842",2.5,+/-0.3
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",23,Other means,"14,714","+/-2,471",1.4,+/-0.2
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",24,Worked from home,"78,333","+/-5,882",7.4,+/-0.6
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",24.3,,,,,
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",25,Mean travel time to work (minutes),27.1,+/-0.4,(X),(X)
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",25.3,,,,,
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",25.5,OCCUPATION,,,,
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",26,Civilian employed population 16 years and over,"1,085,614","+/-16,223","1,085,614",(X)
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",27,"Management, business, science, and arts occupations","324,102","+/-10,671",29.9,+/-0.9
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",28,Service occupations,"227,050","+/-8,805",20.9,+/-0.7
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",29,Sales and office occupations,"289,971","+/-9,424",26.7,+/-0.8
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",30,"Natural resources, construction, and maintenance occupations","108,107","+/-6,814",10.0,+/-0.6
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",31,"Production, transportation, and material moving occupations","136,384","+/-7,452",12.6,+/-0.7
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",31.3,,,,,
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",31.5,INDUSTRY,,,,
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",32,Civilian employed population 16 years and over,"1,085,614","+/-16,223","1,085,614",(X)
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",33,"Agriculture, forestry, fishing and hunting, and mining","15,611","+/-2,832",1.4,+/-0.3
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",34,Construction,"70,661","+/-6,139",6.5,+/-0.6
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",35,Manufacturing,"102,485","+/-7,535",9.4,+/-0.6
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",36,Wholesale trade,"33,407","+/-4,230",3.1,+/-0.4
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",37,Retail trade,"150,743","+/-8,708",13.9,+/-0.8
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",38,"Transportation and warehousing, and utilities","37,334","+/-4,476",3.4,+/-0.4
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",39,Information,"17,162","+/-2,674",1.6,+/-0.2
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",40,"Finance and insurance, and real estate and rental and leasing","57,530","+/-5,171",5.3,+/-0.5
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",41,"Professional, scientific, and management, and administrative and waste management services","119,548","+/-6,990",11.0,+/-0.6
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",42,"Educational services, and health care and social assistance","229,167","+/-10,435",21.1,+/-0.9
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",43,"Arts, entertainment, and recreation, and accommodation and food services","96,766","+/-6,797",8.9,+/-0.6
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",44,"Other services, except public administration","68,059","+/-5,311",6.3,+/-0.5
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",45,Public administration,"87,141","+/-5,691",8.0,+/-0.5
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",45.3,,,,,
DP03,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",45.5,CLASS OF WORKER,,,,
