TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR
DP04,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",0,SELECTED HOUSING CHARACTERISTICS,,,,
DP04,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",0.5,,,,,
DP04,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",0.8,HOUSING OCCUPANCY,,,,
DP04,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",1,Total housing units,"1,526,801","+/-7,559","1,526,801",(X)
DP04,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",2,Occupied housing units,"1,165,982","+/-9,161",76.4,+/-0.5
DP04,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",3,Vacant housing units,"360,819","+/-8,282",23.6,+/-0.5
DP04,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",3.3,,,,,
DP04,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",4,Homeowner vacancy rate,1.8,+/-0.2,(X),(X)
DP04,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",5,Rental vacancy rate,5.7,+/-0.5,(X),(X)
DP04,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",5.3,,,,,
DP04,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",5.5,UNITS IN STRUCTURE,,,,
DP04,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",6,Total housing units,"1,526,801","+/-7,559","1,526,801",(X)
DP04,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",7,"1-unit, detached","1,054,319","+/-10,077",69.1,+/-0.5
DP04,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",8,"1-unit, attached","190,536","+/-6,715",12.5,+/-0.4
DP04,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",9,2 units,"40,795","+/-3,159",2.7,+/-0.2
DP04,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",10,3 or 4 units,"42,149","+/-3,218",2.8,+/-0.2
