TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR
DP05,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",0,ACS DEMOGRAPHIC AND HOUSING ESTIMATES,,,,
DP05,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",0.5,,,,,
DP05,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",0.8,SEX AND AGE,,,,
DP05,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",1,Total population,"670,050",*****,"670,050",(X)
DP05,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",2,Male,"319,025",+/-601,47.6,+/-0.1
DP05,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",3,Female,"351,025",+/-601,52.4,+/-0.1
DP05,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",4,Sex ratio (males per 100 females),90.9,+/-0.3,(X),(X)
DP05,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",4.3,,,,,
DP05,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",5,Under 5 years,"40,809",+/-158,6.1,+/-0.1
DP05,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",6,5 to 9 years,"35,833","+/-3,164",5.3,+/-0.5
DP05,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",7,10 to 14 years,"33,735","+/-3,162",5.0,+/-0.5
DP05,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",8,15 to 19 years,"35,516","+/-1,779",5.3,+/-0.3
DP05,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",9,20 to 24 years,"45,383","+/-1,780",6.8,+/-0.3
DP05,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",10,25 to 34 years,"145,879",+/-239,21.8,+/-0.1
DP05,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",11,35 to 44 years,"110,899",+/-405,16.6,+/-0.1
DP05,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",12,45 to 54 years,"70,143",+/-387,10.5,+/-0.1
DP05,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",13,55 to 59 years,"32,661","+/-2,649",4.9,+/-0.4
DP05,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",14,60 to 64 years,"33,577","+/-2,788",5.0,+/-0.4
DP05,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",15,65 to 74 years,"50,531","+/-1,042",7.5,+/-0.2
DP05,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",16,75 to 84 years,"24,706","+/-1,579",3.7,+/-0.2
DP05,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",17,85 years and over,"10,378","+/-1,511",1.5,+/-0.2
DP05,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",17.3,,,,,
DP05,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",18,Median age (years),34.8,+/-0.1,(X),(X)
DP05,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",18.3,,,,,
DP05,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",19,Under 18 years,"125,729",+/-158,18.8,+/-0.1
DP05,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",20,16 years and over,"553,437","+/-1,145",82.6,+/-0.2
DP05,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",21,18 years and over,"544,321",+/-158,81.2,+/-0.1
DP05,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",22,21 years and over,"515,012","+/-2,130",76.9,+/-0.3
DP05,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",23,62 years and over,"103,636","+/-2,191",15.5,+/-0.3
DP05,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",24,65 years and over,"85,615",+/-523,12.8,+/-0.1
DP05,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",24.3,,,,,
DP05,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",25,18 years and over,"544,321",+/-158,"544,321",(X)
DP05,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",26,Male,"255,085",+/-250,46.9,+/-0.1
DP05,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",27,Female,"289,236",+/-262,53.1,+/-0.1
DP05,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",28,Sex ratio (males per 100 females),88.2,+/-0.2,(X),(X)
DP05,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",28.3,,,,,
DP05,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",29,65 years and over,"85,615",+/-523,"85,615",(X)
DP05,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",30,Male,"35,541",+/-523,41.5,+/-0.4
DP05,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",31,Female,"50,074",+/-4,58.5,+/-0.4
DP05,5001800US1198,"Delegate District (at Large) (118th Congress), District of Columbia",32,Sex ratio (males per 100 females),71.0,+/-1.0,(X),(X)
