GEONAME,Distance
"Congressional District 10 (118th Congress), North Carolina",25.01319651703876
"Congressional District 2 (118th Congress), Oklahoma",27.607426537075128
"Congressional District 2 (118th Congress), West Virginia",28.42569260369921
"Congressional District 3 (118th Congress), Georgia",29.13880574079865
"Congressional District 3 (118th Congress), South Carolina",29.296586831916105
"Congressional District 1 (118th Congress), Tennessee",29.517452464601345
"Congressional District 1 (118th Congress), Alabama",29.587328368745965
"Congressional District 4 (118th Congress), Oklahoma",30.914883147118637
"Congressional District 5 (118th Congress), South Carolina",30.981930217467085
"Congressional District 5 (118th Congress), Alabama",31.77546223109901
"Congressional District 12 (118th Congress), Illinois",32.873089298086974
"Congressional District 2 (118th Congress), Alabama",33.05344157572703
"Congressional District 5 (118th Congress), North Carolina",33.278070857548215
"Congressional District 7 (118th Congress), Missouri",33.33016651623571
"Congressional District 8 (118th Congress), Tennessee",33.62469330715152
"Congressional District 8 (118th Congress), Missouri",33.90457196308486
"Congressional District 6 (118th Congress), Missouri",34.68832656672848
"Congressional District 14 (118th Congress), Georgia",35.634393498416664
"Congressional District 4 (118th Congress), Arkansas",35.767583088601334
"Congressional District 8 (118th Congress), Georgia",36.32918936612817
"Congressional District 7 (118th Congress), South Carolina",36.39491722754703
"Congressional District 2 (118th Congress), South Carolina",36.797690144899036
"Congressional District 1 (118th Congress), Arkansas",37.1791608296906
"Congressional District 9 (118th Congress), Virginia",37.242851663104425
"Congressional District 4 (118th Congress), Mississippi",37.48959855746658
"Congressional District 4 (118th Congress), Missouri",37.69549044647118
"Congressional District 2 (118th Congress), Kansas",38.0640250105004
"Congressional District 3 (118th Congress), Alabama",38.15389888333826
"Congressional District 2 (118th Congress), Arkansas",38.48194381784787
"Congressional District 8 (118th Congress), North Carolina",38.489349176103254
"Congressional District 6 (118th Congress), Tennessee",38.67337585471431
"Congressional District 2 (118th Congress), Ohio",38.91156640383422
"Congressional District 1 (118th Congress), Indiana",39.07236875337865
"Congressional District 8 (118th Congress), Indiana",39.19528032812114
"Congressional District 1 (118th Congress), Kentucky",39.201530582363745
"Congressional District 4 (118th Congress), Alabama",39.21657812711354
"Congressional District 6 (118th Congress), Alabama",39.611488232582225
"Congressional District 4 (118th Congress), Kansas",39.76594020012604
"Congressional District 2 (118th Congress), Maine",39.85887605038557
"Congressional District 3 (118th Congress), North Carolina",40.32356631053359
"Congressional District 2 (118th Congress), Georgia",40.90537861944319
"Congressional District 1 (118th Congress), Texas",40.93580339995785
"Congressional District 2 (118th Congress), Montana",41.5215606643103
"Congressional District 1 (118th Congress), North Carolina",41.77930109515955
"Congressional District 15 (118th Congress), Illinois",42.09382377499103
"Congressional District 4 (118th Congress), Kentucky",42.32292522971446
"Congressional District 1 (118th Congress), West Virginia",42.45032390924715
"Congressional District 3 (118th Congress), Colorado",42.62722134974317
"Congressional District 11 (118th Congress), North Carolina",42.9074585590897
"Congressional District 7 (118th Congress), Tennessee",43.14475634419553
"Congressional District 3 (118th Congress), Tennessee",43.257831660868064
"Congressional District 4 (118th Congress), Florida",43.2641884241459
"Congressional District 6 (118th Congress), Ohio",43.58612164439502
"Congressional District 3 (118th Congress), Oklahoma",43.73236787552213
"Congressional District 3 (118th Congress), Mississippi",44.18416005764962
"Congressional District 5 (118th Congress), Michigan",44.48572804844268
"Congressional District 4 (118th Congress), Ohio",45.39834798756448
"Congressional District 5 (118th Congress), Louisiana",45.614032928474984
