GEONAME,Distance
"Congressional District 1 (118th Congress), Alabama",24.627829786645837
"Congressional District 2 (118th Congress), Kansas",24.9925989044757
"Congressional District 4 (118th Congress), Mississippi",26.772000298819652
"Congressional District 3 (118th Congress), South Carolina",27.069355367278327
"Congressional District 3 (118th Congress), Tennessee",27.090588771748756
"Congressional District 4 (118th Congress), Alabama",27.832175624625535
"Congressional District 1 (118th Congress), Georgia",28.012140225266613
"Congressional District 7 (118th Congress), Missouri",28.770644761631598
"Congressional District 5 (118th Congress), North Carolina",28.944256770558123
"Congressional District 2 (118th Congress), Alabama",29.353875382988186
"Congressional District 4 (118th Congress), Missouri",31.291532400954733
"Congressional District 8 (118th Congress), Tennessee",31.724280921716726
"Congressional District 10 (118th Congress), North Carolina",32.291484945725244
"Congressional District 8 (118th Congress), Missouri",32.34826115883202
"Congressional District 7 (118th Congress), North Carolina",33.34426487418788
"Congressional District 1 (118th Congress), Oklahoma",33.74522188399418
"Congressional District 4 (118th Congress), Oklahoma",33.78890350396118
"Congressional District 3 (118th Congress), Alabama",34.18011117594558
"Congressional District 3 (118th Congress), Georgia",34.41148064236702
"Congressional District 6 (118th Congress), Missouri",34.71829488900629
"Congressional District 6 (118th Congress), South Carolina",34.75370483847729
"Congressional District 4 (118th Congress), Florida",35.58496873681357
"Congressional District 17 (118th Congress), Texas",37.28149675106942
"Congressional District 8 (118th Congress), North Carolina",37.362548092976745
"Congressional District 7 (118th Congress), South Carolina",37.46918734106732
"Congressional District 12 (118th Congress), Georgia",37.83556527924487
"Congressional District 4 (118th Congress), Kansas",38.139218660061715
"Congressional District 11 (118th Congress), North Carolina",38.91105241444903
"Congressional District 1 (118th Congress), Texas",38.92942331964346
"Congressional District 3 (118th Congress), Oklahoma",39.0367775309387
"Congressional District 3 (118th Congress), Mississippi",39.05585743521706
"Congressional District 5 (118th Congress), South Carolina",39.60555516591075
"Congressional District 6 (118th Congress), North Carolina",40.139506723426486
"Congressional District 2 (118th Congress), Indiana",40.15146323610138
"Congressional District 3 (118th Congress), North Carolina",40.788111012891974
"Congressional District 4 (118th Congress), Tennessee",40.929817981515626
"Congressional District 13 (118th Congress), Texas",41.09416016905565
"Congressional District 4 (118th Congress), South Carolina",41.09854012005779
"Congressional District 8 (118th Congress), Georgia",41.17268512011331
"Congressional District 19 (118th Congress), Texas",41.71654348097407
"Congressional District 14 (118th Congress), Georgia",41.97534990920266
"Congressional District 6 (118th Congress), Tennessee",42.26499733822303
"Congressional District 2 (118th Congress), Tennessee",42.66403637725807
"Congressional District (at Large) (118th Congress), South Dakota",42.707844712652026
"Congressional District 11 (118th Congress), Texas",43.15472164201734
"Congressional District 1 (118th Congress), Florida",43.36692287907916
"Congressional District 1 (118th Congress), North Carolina",43.57614026046823
"Congressional District 1 (118th Congress), Tennessee",44.34580025210955
"Congressional District 5 (118th Congress), Oklahoma",44.456383118737854
"Congressional District 9 (118th Congress), Georgia",45.15240857362982
"Congressional District 3 (118th Congress), Arkansas",45.208074500027095
"Congressional District 3 (118th Congress), Nebraska",45.64953449926954
"Congressional District 2 (118th Congress), Florida",45.817354790515786
"Congressional District 1 (118th Congress), Kansas",46.02086483324711
"Congressional District 2 (118th Congress), Oklahoma",46.162213985033254
"Congressional District 27 (118th Congress), Texas",46.69946466502587
"Congressional District 15 (118th Congress), Florida",46.78589531044585
"Congressional District 2 (118th Congress), South Carolina",47.10307845565935
"Congressional District 18 (118th Congress), Florida",47.419299868302566
"Congressional District 20 (118th Congress), Florida",47.632132011909775
"Congressional District 1 (118th Congress), Missouri",47.71551110488076
"Congressional District 2 (118th Congress), Arkansas",48.17094560001911
"Congressional District 8 (118th Congress), Florida",48.57674340669617
"Congressional District (at Large) (118th Congress), Wyoming",48.69137500625752
"Congressional District 25 (118th Congress), Texas",49.184042127503105
"Congressional District 9 (118th Congress), North Carolina",49.50454524586606
"Congressional District 2 (118th Congress), Idaho",49.65128397131337
"Congressional District 36 (118th Congress), Texas",49.99839997439918
"Congressional District 1 (118th Congress), Indiana",50.01629734396579
"Congressional District 6 (118th Congress), Florida",50.6185736661949
"Congressional District 14 (118th Congress), Texas",50.62262340100521
"Congressional District 2 (118th Congress), Georgia",51.31110990808911
"Congressional District 13 (118th Congress), North Carolina",51.36409251607586
"Congressional District 30 (118th Congress), Texas",51.393773941986396
"Congressional District 5 (118th Congress), Missouri",51.55375834990113
"Congressional District 3 (118th Congress), Florida",51.676203420917055
"Congressional District 12 (118th Congress), Florida",51.792180877039726
"Congressional District 26 (118th Congress), Florida",51.89826586698249
"Congressional District 10 (118th Congress), Georgia",51.91801228860751
"Congressional District 13 (118th Congress), Pennsylvania",52.448546214361365
"Congressional District 10 (118th Congress), Florida",52.95309244982771
"Congressional District 9 (118th Congress), Tennessee",53.55940627004746
