GEONAME,Distance
"Congressional District 3 (118th Congress), Mississippi",22.56612505504656
"Congressional District 5 (118th Congress), South Carolina",27.996785529771095
"Congressional District 3 (118th Congress), South Carolina",28.46137733842128
"Congressional District 4 (118th Congress), Missouri",29.011377078656572
"Congressional District 1 (118th Congress), Kentucky",29.70841631591964
"Congressional District 2 (118th Congress), Kentucky",29.930252254199264
"Congressional District 8 (118th Congress), Tennessee",30.880900245944897
"Congressional District 8 (118th Congress), Missouri",32.621158777701325
"Congressional District 2 (118th Congress), Oklahoma",32.78993748087971
"Congressional District 2 (118th Congress), West Virginia",33.32926641856972
"Congressional District 2 (118th Congress), Ohio",33.462366921662905
"Congressional District 14 (118th Congress), Georgia",34.04849482723135
"Congressional District 3 (118th Congress), Alabama",34.60520192109851
"Congressional District 1 (118th Congress), Arkansas",34.68746171169058
"Congressional District 2 (118th Congress), Arkansas",35.23393250830795
"Congressional District 9 (118th Congress), Indiana",35.25436143231076
"Congressional District 4 (118th Congress), Louisiana",35.78575135441479
"Congressional District 6 (118th Congress), Missouri",35.901392730644865
"Congressional District 3 (118th Congress), Tennessee",36.10803234738775
"Congressional District 2 (118th Congress), Alabama",36.87288977012786
"Congressional District 4 (118th Congress), Arkansas",36.994053576216814
"Congressional District 3 (118th Congress), Louisiana",37.030122873142076
"Congressional District 7 (118th Congress), Missouri",37.27572936912168
"Congressional District 6 (118th Congress), North Carolina",37.33871984950743
"Congressional District 4 (118th Congress), Oklahoma",37.53118703158748
"Congressional District 8 (118th Congress), North Carolina",37.88231777491974
"Congressional District 5 (118th Congress), North Carolina",38.07676456843465
"Congressional District 2 (118th Congress), South Carolina",38.33653609808795
"Congressional District 10 (118th Congress), North Carolina",38.35844105278524
"Congressional District 1 (118th Congress), Texas",38.387758465427495
"Congressional District 1 (118th Congress), Alabama",38.5735660783392
"Congressional District 12 (118th Congress), Georgia",38.80824654632053
"Congressional District 4 (118th Congress), Tennessee",39.65400358097528
"Congressional District 12 (118th Congress), Illinois",39.73361297440745
"Congressional District 4 (118th Congress), Alabama",39.84708270375637
"Congressional District 3 (118th Congress), Oklahoma",40.51839088611491
"Congressional District 4 (118th Congress), Mississippi",40.90281163929932
"Congressional District 7 (118th Congress), Alabama",41.04058966437982
"Congressional District 2 (118th Congress), New Mexico",41.105474088009245
"Congressional District 4 (118th Congress), Kentucky",41.67109309821378
"Congressional District 6 (118th Congress), Tennessee",41.93721497667674
"Congressional District 2 (118th Congress), Tennessee",41.94853990307649
"Congressional District 5 (118th Congress), Louisiana",42.024992563949375
"Congressional District 3 (118th Congress), Arkansas",42.30673705215282
"Congressional District 1 (118th Congress), West Virginia",42.81203101932913
"Congressional District 4 (118th Congress), South Carolina",42.93553306994104
"Congressional District 8 (118th Congress), Indiana",42.9428690238554
"Congressional District 5 (118th Congress), Alabama",43.48884914549936
"Congressional District 11 (118th Congress), North Carolina",43.674363189404374
"Congressional District 7 (118th Congress), Arizona",44.001363615233565
"Congressional District 2 (118th Congress), Mississippi",44.661840535293656
"Congressional District 6 (118th Congress), Virginia",45.01766320012624
"Congressional District 3 (118th Congress), Missouri",45.183957330008184
"Congressional District 6 (118th Congress), Alabama",45.42928570867035
"Congressional District 1 (118th Congress), North Carolina",45.509889035241564
"Congressional District 6 (118th Congress), Kentucky",45.72122045615143
"Congressional District 13 (118th Congress), Texas",46.021190771208865
"Congressional District 5 (118th Congress), Virginia",46.19859305216989
"Congressional District 1 (118th Congress), Tennessee",46.34501051893289
"Congressional District 1 (118th Congress), Louisiana",46.67343998464223
"Congressional District 19 (118th Congress), Texas",46.91780045995336
"Congressional District 3 (118th Congress), Georgia",47.16057675643927
"Congressional District 2 (118th Congress), Georgia",47.40411374553901
"Congressional District 3 (118th Congress), New Mexico",47.49715780970478
"Congressional District 9 (118th Congress), North Carolina",47.56626956152858
"Congressional District 9 (118th Congress), Virginia",48.03998334720777
"Congressional District 4 (118th Congress), Indiana",49.15963791567224
"Congressional District 6 (118th Congress), Indiana",49.76745924798653
"Congressional District 6 (118th Congress), Louisiana",49.97729484475926
"Congressional District 9 (118th Congress), Georgia",51.52882688359983
"Congressional District 2 (118th Congress), Oregon",52.203639719850955
"Congressional District 12 (118th Congress), Ohio",52.265667507456556
"Congressional District 5 (118th Congress), Oklahoma",52.48799862825787
"Congressional District 8 (118th Congress), Georgia",52.552640276203064
"Congressional District 17 (118th Congress), Texas",53.40617941774154
"Congressional District 2 (118th Congress), Arizona",53.553337897837885
"Congressional District 28 (118th Congress), Texas",53.63981730021085
"Congressional District 3 (118th Congress), North Carolina",53.76383542865966
"Congressional District 3 (118th Congress), Indiana",54.34418092123572
"Congressional District 8 (118th Congress), Ohio",54.58965103387271
"Congressional District 11 (118th Congress), Texas",54.89289571520162
"Congressional District 10 (118th Congress), Georgia",55.011998691194634
"Congressional District 2 (118th Congress), Kansas",55.28932989284641
"Congressional District (at Large) (118th Congress), South Dakota",55.44249272895294
"Congressional District 23 (118th Congress), Texas",55.859914070825425
"Congressional District 13 (118th Congress), Pennsylvania",56.10008912648892
"Congressional District 14 (118th Congress), Texas",56.21458885378421
"Congressional District 6 (118th Congress), South Carolina",56.23584266284271
"Congressional District 5 (118th Congress), Kentucky",56.53910151390805
"Congressional District 2 (118th Congress), Idaho",56.595759558468686
"Congressional District 4 (118th Congress), Ohio",56.73843494492952
"Congressional District 3 (118th Congress), Nebraska",57.1389534380881
"Congressional District 15 (118th Congress), Pennsylvania",57.318408910227085
"Congressional District 6 (118th Congress), Arizona",57.32556148874601
"Congressional District 5 (118th Congress), Indiana",57.48373683051581
"Congressional District 1 (118th Congress), Oklahoma",57.64165160714949
"Congressional District 7 (118th Congress), Minnesota",57.85213911343296
"Congressional District 4 (118th Congress), Kansas",58.21941257003543
"Congressional District 7 (118th Congress), Tennessee",58.39974315012011
"Congressional District 7 (118th Congress), South Carolina",58.404965542323545
"Congressional District 3 (118th Congress), Florida",58.75755270601389
"Congressional District 36 (118th Congress), Texas",58.79557806502118
"Congressional District 15 (118th Congress), Illinois",58.82150967120786
"Congressional District 8 (118th Congress), Minnesota",59.43887616703398
"Congressional District (at Large) (118th Congress), North Dakota",59.46410682083773
"Congressional District 1 (118th Congress), Georgia",59.53066436719819
"Congressional District 13 (118th Congress), North Carolina",59.661545404054024
"Congressional District (at Large) (118th Congress), Wyoming",59.880631259197656
"Congressional District 8 (118th Congress), Pennsylvania",60.31442613504666
"Congressional District 6 (118th Congress), Ohio",60.42962849463829
"Congressional District 3 (118th Congress), Colorado",60.64890765710459
"Congressional District 2 (118th Congress), Michigan",60.72314221118667
"Congressional District 9 (118th Congress), Arizona",60.735080472491354
"Congressional District 7 (118th Congress), North Carolina",60.76479243772664
"Congressional District 1 (118th Congress), Kansas",60.77351396784622
"Congressional District 5 (118th Congress), Ohio",60.96736832109452
"Congressional District 4 (118th Congress), Iowa",61.112764624094694
"Congressional District 4 (118th Congress), North Carolina",61.295921560899956
"Congressional District 13 (118th Congress), Illinois",61.41661013113635
"Congressional District 27 (118th Congress), Texas",61.520972033933276
"Congressional District 10 (118th Congress), Ohio",62.149336279641794
"Congressional District 9 (118th Congress), Tennessee",62.564286937517316
"Congressional District 14 (118th Congress), Pennsylvania",62.866445740156166
"Congressional District 1 (118th Congress), Michigan",62.891652864271265
"Congressional District 3 (118th Congress), Wisconsin",62.919233943206905
"Congressional District 16 (118th Congress), Pennsylvania",63.00055555310603
"Congressional District 2 (118th Congress), Montana",63.71687374628482
"Congressional District 2 (118th Congress), Indiana",63.79913792521024
"Congressional District 16 (118th Congress), Texas",63.90563355448407
"Congressional District 7 (118th Congress), Wisconsin",64.03975327872524
"Congressional District 1 (118th Congress), Montana",64.36847054264999
"Congressional District 2 (118th Congress), Louisiana",64.47650734957656
"Congressional District 29 (118th Congress), Texas",64.87141126875535
"Congressional District 5 (118th Congress), Michigan",65.41047316752875
"Congressional District 2 (118th Congress), Iowa",65.66955154407559
"Congressional District 1 (118th Congress), Iowa",65.74838401055953
"Congressional District 9 (118th Congress), Ohio",65.8967374002689
"Congressional District 1 (118th Congress), Florida",66.00136362227677
"Congressional District 14 (118th Congress), Ohio",66.05293331866496
"Congressional District 6 (118th Congress), Texas",66.2772208228438
"Congressional District 5 (118th Congress), Texas",66.83464670363718
"Congressional District 9 (118th Congress), Pennsylvania",66.87555607245446
"Congressional District 24 (118th Congress), New York",66.93571542905924
"Congressional District 8 (118th Congress), Wisconsin",67.07905783476689
"Congressional District 1 (118th Congress), Idaho",67.17097587500125
"Congressional District 4 (118th Congress), Washington",67.20037202277976
"Congressional District 15 (118th Congress), Texas",67.30014858824607
"Congressional District 34 (118th Congress), Texas",67.59016200601978
"Congressional District 3 (118th Congress), Iowa",67.60355020263358
"Congressional District 2 (118th Congress), Florida",67.81135598113343
"Congressional District 5 (118th Congress), Washington",68.10183551124008
"Congressional District 1 (118th Congress), New Mexico",68.45326873130311
"Congressional District 3 (118th Congress), Kentucky",68.66906144691363
"Congressional District 1 (118th Congress), Nebraska",69.20166182975666
"Congressional District 1 (118th Congress), Minnesota",69.21062057227923
"Congressional District 21 (118th Congress), New York",69.45919665530259
"Congressional District 7 (118th Congress), Indiana",69.81976797440679
"Congressional District 15 (118th Congress), Ohio",69.88046937449691
"Congressional District 4 (118th Congress), Virginia",69.9672066042371
"Congressional District 25 (118th Congress), Texas",70.2900419689731
"Congressional District 18 (118th Congress), Florida",70.60014164291741
"Congressional District 6 (118th Congress), Florida",71.27987093142075
"Congressional District (at Large) (118th Congress), Delaware",71.44935269125956
"Congressional District 10 (118th Congress), Pennsylvania",71.74907664911096
"Congressional District 23 (118th Congress), New York",71.75625408283238
"Congressional District 1 (118th Congress), California",71.93900193914286
"Congressional District 19 (118th Congress), New York",72.17347158062995
"Congressional District 4 (118th Congress), Michigan",72.24998269895987
"Congressional District 8 (118th Congress), Michigan",72.4865504766229
"Congressional District 22 (118th Congress), California",73.23544223939663
"Congressional District 6 (118th Congress), Wisconsin",73.35291405254463
"Congressional District 22 (118th Congress), New York",73.61942678396782
"Congressional District 16 (118th Congress), Illinois",74.42701122576399
"Congressional District 1 (118th Congress), Maryland",74.46972539226931
"Congressional District 7 (118th Congress), Michigan",74.76362752033906
"Congressional District 10 (118th Congress), Texas",74.99213292072709
"Congressional District 9 (118th Congress), Michigan",75.14159966356851
"Congressional District 11 (118th Congress), Pennsylvania",76.75747520600191
"Congressional District 20 (118th Congress), Texas",77.14032667807416
"Congressional District 4 (118th Congress), Florida",77.48780549221922
"Congressional District 17 (118th Congress), Illinois",77.51483728938608
"Congressional District 12 (118th Congress), Florida",77.68802996601214
"Congressional District 5 (118th Congress), Missouri",77.91501780786551
