GEONAME,Distance
"Congressional District 1 (118th Congress), Alabama",6.366317616958793
"Congressional District 3 (118th Congress), Alabama",8.762990357178307
"Congressional District 2 (118th Congress), Arkansas",13.93448958519831
"Congressional District 5 (118th Congress), Pennsylvania",16.02342035896207
"Congressional District 25 (118th Congress), New York",29.409862291415106
"Congressional District 5 (118th Congress), Tennessee",29.705555036053443
"Congressional District 8 (118th Congress), North Carolina",30.87944300015789
"Congressional District 2 (118th Congress), North Carolina",31.095015677757747
"Congressional District 3 (118th Congress), Florida",31.449324317066022
"Congressional District 12 (118th Congress), North Carolina",47.460299198382636
"Congressional District 17 (118th Congress), New York",47.5122089572775
"Congressional District 4 (118th Congress), New York",49.117715744932596
"Congressional District 6 (118th Congress), Massachusetts",51.64474803888581
"Congressional District 11 (118th Congress), Florida",52.28364945181237
"Congressional District 38 (118th Congress), Texas",57.82499459576283
"Congressional District 2 (118th Congress), New York",58.20472489411835
"Congressional District 1 (118th Congress), West Virginia",62.890301319042834
"Congressional District 2 (118th Congress), Mississippi",87.96118462139991
"Congressional District 9 (118th Congress), Tennessee",92.60869289650945
"Congressional District 20 (118th Congress), Florida",92.83523038157443
"Congressional District 10 (118th Congress), New Jersey",93.13785481746936
"Congressional District 8 (118th Congress), Maryland",106.2149706962253
"Congressional District 7 (118th Congress), Virginia",106.29971777949365
"Congressional District 8 (118th Congress), Virginia",106.81423126156926
"Congressional District 16 (118th Congress), New York",108.0306900838831
"Congressional District 4 (118th Congress), Connecticut",108.95806532790493
"Congressional District 22 (118th Congress), Florida",110.81755276128416
"Congressional District 6 (118th Congress), Maryland",111.09572449018908
"Congressional District 23 (118th Congress), Florida",111.26122415289166
"Congressional District 10 (118th Congress), Virginia",111.48560445187532
"Congressional District 1 (118th Congress), Rhode Island",111.56298669361627
"Congressional District 7 (118th Congress), Massachusetts",111.58611024675069
"Congressional District 14 (118th Congress), North Carolina",111.81963155009946
"Congressional District 3 (118th Congress), Massachusetts",112.27795865618505
"Congressional District 25 (118th Congress), Florida",112.38340624843154
"Congressional District 3 (118th Congress), Connecticut",112.39661916623649
"Congressional District 12 (118th Congress), New Jersey",112.39857650344153
"Congressional District 1 (118th Congress), Connecticut",112.53066248805256
"Congressional District 15 (118th Congress), Florida",113.02787266864753
"Congressional District 1 (118th Congress), New Jersey",113.17716200718235
"Congressional District 5 (118th Congress), New Jersey",113.18948714434569
"Congressional District 11 (118th Congress), Georgia",113.29898499104041
"Congressional District 9 (118th Congress), New Jersey",113.39814813302729
"Congressional District 4 (118th Congress), North Carolina",113.46858596104914
"Congressional District 13 (118th Congress), North Carolina",113.85332669711501
"Congressional District 6 (118th Congress), New Jersey",113.88248328869545
"Congressional District 18 (118th Congress), New York",114.08211954552738
"Congressional District 11 (118th Congress), New Jersey",114.15239813512461
"Congressional District 14 (118th Congress), Florida",114.23594005390773
"Congressional District 3 (118th Congress), Maryland",114.44339212029674
"Congressional District 2 (118th Congress), Virginia",114.4514744334908
"Congressional District (at Large) (118th Congress), Delaware",114.5736444388499
"Congressional District 10 (118th Congress), Florida",114.70710527251569
"Congressional District 16 (118th Congress), Florida",114.76641494792804
"Congressional District 21 (118th Congress), Florida",114.77830805513732
"Congressional District 5 (118th Congress), Minnesota",114.86391948736556
"Congressional District 7 (118th Congress), New York",114.91231439667378
"Congressional District 3 (118th Congress), North Carolina",115.0648078258509
"Congressional District 5 (118th Congress), Missouri",115.14165189018263
"Congressional District 6 (118th Congress), Colorado",115.18415689668436
"Congressional District 7 (118th Congress), Florida",115.26534604988612
"Congressional District 4 (118th Congress), Florida",115.32194067045525
"Congressional District 5 (118th Congress), Connecticut",115.36858324517988
"Congressional District 4 (118th Congress), South Carolina",115.4129542122547
"Congressional District 10 (118th Congress), Georgia",115.55847004871602
"Congressional District 32 (118th Congress), California",115.67614274343694
"Congressional District 3 (118th Congress), New Jersey",115.72946902150723
"Congressional District 11 (118th Congress), Virginia",115.76972834035674
"Congressional District 6 (118th Congress), Louisiana",116.12833418248967
"Congressional District 6 (118th Congress), North Carolina",116.18928522028182
"Congressional District 2 (118th Congress), Maryland",116.2699875290266
"Congressional District 5 (118th Congress), Florida",116.31134940322892
"Congressional District 7 (118th Congress), Indiana",116.35024709900705
"Congressional District 1 (118th Congress), Louisiana",116.36563066472849
"Congressional District 11 (118th Congress), New York",116.38930363224964
"Congressional District 2 (118th Congress), New Jersey",116.40210479196672
"Congressional District 2 (118th Congress), Pennsylvania",116.4263715830739
"Congressional District 5 (118th Congress), Oklahoma",116.43135316571735
"Congressional District 3 (118th Congress), Georgia",116.47008199533474
"Congressional District 1 (118th Congress), Georgia",116.53299961813391
