GEONAME,Distance
"Congressional District 1 (118th Congress), Alabama",54.86702106001382
"Congressional District 3 (118th Congress), Alabama",62.43644768882996
"Congressional District 2 (118th Congress), Arkansas",72.36642868070803
"Congressional District 8 (118th Congress), North Carolina",72.56721022610695
"Congressional District 1 (118th Congress), West Virginia",120.88498666087531
"Congressional District 3 (118th Congress), South Carolina",130.10687914172718
"Congressional District 5 (118th Congress), South Carolina",131.09126591806182
"Congressional District 2 (118th Congress), Alabama",132.6410946878832
"Congressional District 4 (118th Congress), Oklahoma",133.05870884688457
"Congressional District 4 (118th Congress), Mississippi",133.49659171679252
"Congressional District 3 (118th Congress), Georgia",133.501385760598
"Congressional District 14 (118th Congress), Georgia",134.4277873060477
"Congressional District 8 (118th Congress), Tennessee",134.9031875086723
"Congressional District 5 (118th Congress), North Carolina",135.36524664772713
"Congressional District 3 (118th Congress), Mississippi",135.71112703091077
"Congressional District 1 (118th Congress), Texas",135.71285863911348
"Congressional District 10 (118th Congress), North Carolina",135.8202488585557
"Congressional District 2 (118th Congress), South Carolina",136.71985956692612
"Congressional District 3 (118th Congress), North Carolina",139.35609064551144
"Congressional District 8 (118th Congress), Georgia",139.6227775114075
"Congressional District 3 (118th Congress), Oklahoma",139.70150321310075
"Congressional District 3 (118th Congress), Tennessee",140.117878944837
"Congressional District 2 (118th Congress), Kansas",140.74047037011067
"Congressional District 12 (118th Congress), Georgia",141.88611630459127
"Congressional District 4 (118th Congress), Alabama",142.37201269912566
"Congressional District 9 (118th Congress), Tennessee",142.58793777876164
"Congressional District 7 (118th Congress), South Carolina",143.15306493400692
"Congressional District 4 (118th Congress), Missouri",143.39020189678234
"Congressional District 1 (118th Congress), North Carolina",143.79068120013898
"Congressional District 5 (118th Congress), Alabama",144.1227948660447
"Congressional District 7 (118th Congress), Missouri",144.4367681720967
"Congressional District 13 (118th Congress), Texas",144.5088232600349
"Congressional District 4 (118th Congress), Tennessee",145.11285263545747
"Congressional District 6 (118th Congress), Tennessee",145.48663168827574
"Congressional District 17 (118th Congress), Texas",146.0795673597098
"Congressional District 8 (118th Congress), Missouri",146.38025823177114
"Congressional District 4 (118th Congress), Kansas",146.43059789538523
"Congressional District 3 (118th Congress), Arkansas",146.73009234645767
"Congressional District 6 (118th Congress), Missouri",147.45789229471578
"Congressional District 2 (118th Congress), Mississippi",147.7150974003673
"Congressional District 6 (118th Congress), Alabama",147.77097143891285
"Congressional District 6 (118th Congress), Louisiana",148.71940021395997
"Congressional District 7 (118th Congress), Tennessee",149.28040728776165
"Congressional District 4 (118th Congress), Florida",149.80517347541772
"Congressional District 14 (118th Congress), Texas",150.06961717816168
"Congressional District 11 (118th Congress), North Carolina",150.8962226167375
"Congressional District 2 (118th Congress), Georgia",151.20790323260223
"Congressional District 19 (118th Congress), Texas",154.12342456615735
"Congressional District 1 (118th Congress), Tennessee",154.25786851891866
"Congressional District 12 (118th Congress), Illinois",154.9303391850673
"Congressional District 2 (118th Congress), Kentucky",154.94547428047068
"Congressional District 2 (118th Congress), West Virginia",155.50919586956908
"Congressional District 1 (118th Congress), Kansas",155.93575600227166
"Congressional District 1 (118th Congress), Kentucky",156.5264514387265
"Congressional District 8 (118th Congress), Indiana",156.8745677284881
"Congressional District 2 (118th Congress), Arizona",157.0764145249057
"Congressional District 36 (118th Congress), Texas",157.34846678630205
"Congressional District 1 (118th Congress), Indiana",157.52336334652074
"Congressional District 6 (118th Congress), Indiana",157.5949237761166
"Congressional District 18 (118th Congress), Florida",157.6643269734787
"Congressional District (at Large) (118th Congress), South Dakota",158.8149237319969
"Congressional District 6 (118th Congress), South Carolina",159.12938132224357
"Congressional District 3 (118th Congress), Indiana",159.23824917399713
"Congressional District 13 (118th Congress), Illinois",159.25021193078518
"Congressional District 3 (118th Congress), Nebraska",159.5585159118748
"Congressional District (at Large) (118th Congress), Wyoming",159.95105501371347
"Congressional District 3 (118th Congress), Colorado",160.22365618097723
"Congressional District 4 (118th Congress), Louisiana",161.11449345108588
"Congressional District 9 (118th Congress), Virginia",161.5030340272281
"Congressional District 8 (118th Congress), Ohio",161.92593986140702
"Congressional District 11 (118th Congress), Texas",162.31102858401212
"Congressional District 9 (118th Congress), Indiana",162.38629868310935
"Congressional District 5 (118th Congress), Texas",162.63717287262466
"Congressional District 4 (118th Congress), Kentucky",163.25844541707482
"Congressional District 2 (118th Congress), Oregon",163.62838995724428
"Congressional District 4 (118th Congress), Ohio",163.78186712820195
"Congressional District 12 (118th Congress), Ohio",163.89826112561414
"Congressional District 3 (118th Congress), Louisiana",164.33815746806948
"Congressional District 3 (118th Congress), Missouri",164.58869949057865
"Congressional District 6 (118th Congress), Texas",164.65940604775665
"Congressional District 13 (118th Congress), Pennsylvania",165.4845007848167
"Congressional District 6 (118th Congress), Ohio",165.8571373200442
"Congressional District 5 (118th Congress), Indiana",166.06796801309997
"Congressional District 5 (118th Congress), Louisiana",166.6433316997713
"Congressional District (at Large) (118th Congress), North Dakota",167.27298048399805
"Congressional District 5 (118th Congress), Ohio",167.4551581767489
"Congressional District 2 (118th Congress), Montana",167.54578478732313
"Congressional District 1 (118th Congress), Idaho",168.00550586215917
"Congressional District 15 (118th Congress), Illinois",169.09583081791223
"Congressional District 5 (118th Congress), Michigan",169.17109682212265
"Congressional District 14 (118th Congress), Ohio",169.25888455262844
"Congressional District 8 (118th Congress), Michigan",169.88728616350312
"Congressional District 7 (118th Congress), Alabama",170.1639503537691
"Congressional District 2 (118th Congress), Michigan",170.4856005649744
"Congressional District 12 (118th Congress), Texas",171.251832106988
"Congressional District 8 (118th Congress), Minnesota",171.6997961559652
"Congressional District 1 (118th Congress), Nebraska",172.7430461697373
"Congressional District 2 (118th Congress), Iowa",173.04669889945893
"Congressional District 1 (118th Congress), Montana",173.27180959405948
"Congressional District 16 (118th Congress), Pennsylvania",174.2787709389758
"Congressional District 1 (118th Congress), Wisconsin",174.65076581566998
"Congressional District 15 (118th Congress), Pennsylvania",174.94241909839934
"Congressional District 14 (118th Congress), Pennsylvania",175.13700351439155
"Congressional District 3 (118th Congress), Iowa",175.37576799546738
"Congressional District 9 (118th Congress), Pennsylvania",175.6449259158943
"Congressional District 8 (118th Congress), Wisconsin",177.4382145987724
"Congressional District 3 (118th Congress), Wisconsin",178.41395685315652
"Congressional District 3 (118th Congress), New Mexico",178.86953345944636
"Congressional District 16 (118th Congress), Illinois",178.90422018499171
"Congressional District 7 (118th Congress), Wisconsin",178.9498533109206
"Congressional District 2 (118th Congress), Maine",179.25727321366907
"Congressional District 6 (118th Congress), Wisconsin",179.45718152250134
"Congressional District 2 (118th Congress), Illinois",180.29725455480457
"Congressional District 27 (118th Congress), Texas",186.1392220892738
"Congressional District 9 (118th Congress), Michigan",186.23528129761021
"Congressional District 2 (118th Congress), Louisiana",187.09134132824
"Congressional District 2 (118th Congress), New Mexico",189.68149619823225
"Congressional District 30 (118th Congress), Texas",192.70495582625787
"Congressional District 6 (118th Congress), Minnesota",200.8752349096324
"Congressional District 23 (118th Congress), Texas",201.72974495596824
"Congressional District 4 (118th Congress), Washington",208.52553800434134
"Congressional District 3 (118th Congress), Florida",209.52878083929187
"Congressional District 5 (118th Congress), Wisconsin",209.96621156748054
"Congressional District 2 (118th Congress), Oklahoma",216.10043961084392
"Congressional District 25 (118th Congress), New York",218.49885583224457
"Congressional District 4 (118th Congress), Arkansas",220.47943214730938
"Congressional District 4 (118th Congress), South Carolina",224.31602706895467
"Congressional District 5 (118th Congress), Tennessee",224.3389845746833
"Congressional District 1 (118th Congress), Georgia",225.4778481359089
"Congressional District 1 (118th Congress), Arkansas",225.5342324349011
"Congressional District 6 (118th Congress), North Carolina",227.49927472411864
"Congressional District 12 (118th Congress), North Carolina",228.83030830726946
"Congressional District 7 (118th Congress), North Carolina",230.2642178020719
"Congressional District 5 (118th Congress), Pennsylvania",232.85757449565602
"Congressional District 1 (118th Congress), Florida",232.99384112031802
"Congressional District 10 (118th Congress), Georgia",233.3408879729397
"Congressional District 5 (118th Congress), Oklahoma",233.4046272034897
"Congressional District 1 (118th Congress), Oklahoma",233.5721730001243
"Congressional District 28 (118th Congress), Texas",234.12178454812786
"Congressional District 11 (118th Congress), Florida",234.56127131306224
"Congressional District 25 (118th Congress), California",235.11303664407893
"Congressional District 4 (118th Congress), North Carolina",235.20348636871861
"Congressional District 2 (118th Congress), Tennessee",235.29305132111318
"Congressional District 2 (118th Congress), Florida",235.35717537394095
"Congressional District 13 (118th Congress), North Carolina",235.58902775808554
"Congressional District 9 (118th Congress), Georgia",235.86614848256627
"Congressional District 6 (118th Congress), Virginia",236.83625144812606
"Congressional District 25 (118th Congress), Texas",237.6368027053049
"Congressional District 21 (118th Congress), California",237.79144223457664
"Congressional District 1 (118th Congress), Louisiana",238.16851177265227
"Congressional District 2 (118th Congress), Indiana",238.23889271065713
"Congressional District 5 (118th Congress), Virginia",238.41090579082157
"Congressional District 6 (118th Congress), Florida",240.34454435247744
"Congressional District 6 (118th Congress), Kentucky",240.36950721753374
"Congressional District 5 (118th Congress), Missouri",240.55945211111535
"Congressional District 10 (118th Congress), Ohio",240.72858160176992
"Congressional District 2 (118th Congress), Ohio",241.76039791496044
"Congressional District 15 (118th Congress), Ohio",242.50734009509898
"Congressional District 8 (118th Congress), Pennsylvania",242.61391139009322
"Congressional District 15 (118th Congress), Florida",242.74754375688335
"Congressional District 2 (118th Congress), Idaho",242.8659300931277
"Congressional District 7 (118th Congress), Pennsylvania",243.18914449456827
"Congressional District 3 (118th Congress), Kentucky",243.32554325429953
"Congressional District (at Large) (118th Congress), Delaware",243.33016664606137
"Congressional District 4 (118th Congress), Indiana",243.34516637895234
"Congressional District 9 (118th Congress), Ohio",243.55235576770758
